,carrier_name,ArrDelay_sum,ArrDelay_count,endarrerit_sum,Distance_sum,m_distancia,perc_retras
0,AirTran Airways Corporation,3100150.0,70969,65008,51920257,0.059709835411639045,91.60055799010836
1,Alaska Airlines Inc.,1406735.0,39010,34179,36952126,0.03806912219340235,87.61599589848757
2,Aloha Airlines Inc.,15814.0,744,654,656701,0.02408097444651371,87.90322580645162
3,American Airlines Inc.,8889066.0,190910,172197,206431212,0.043060668558202335,90.19799905714734
4,Continental Air Lines Inc.,4045932.0,99731,83646,123568066,0.03274253721831335,83.87161464339073
5,Delta Air Lines Inc.,4535644.0,113728,100923,110001518,0.04123255826342324,88.74067951603827
6,Endeavor Air Inc.,2420468.0,51569,46896,23922151,0.1011810351000627,90.93835443774361
7,Envoy Air,6396704.0,141223,130647,61146137,0.10461337892858219,92.5111348717985
8,ExpressJet Airlines Inc.,5176042.0,103147,94313,61741939,0.08383348634386102,91.43552405789795
9,ExpressJet Airlines LLC,3888131.0,81762,75170,37730644,0.10304968555532738,91.93757491255107
10,Frontier Airlines Inc.,788549.0,28224,25708,25306240,0.031160259287827823,91.08560090702947
11,Hawaiian Airlines Inc.,255613.0,7472,7199,6704711,0.03812438746427698,96.3463597430407
12,JetBlue Airways,3025749.0,54925,48177,60571975,0.049952952664990696,87.7141556668184
13,Mesa Airlines Inc.,3691461.0,66769,63289,27168125,0.13587470611240193,94.7880004193563
14,Northwest Airlines Inc.,3462075.0,78843,72395,64973636,0.0532843044215657,91.82172164935378
15,PSA Airlines Inc.,2675993.0,52453,49104,26888711,0.09952105922816457,93.61523649743579
16,SkyWest Airlines Inc.,5978936.0,131780,121942,58023344,0.10304363016374926,92.53452724237366
17,Southwest Airlines Co.,11319092.0,376201,324717,244698861,0.04625723206778637,86.31476258702129
18,US Airways Inc.,3571867.0,98007,83262,94668681,0.037730186607332156,84.95515626434846
19,United Air Lines Inc.,6733013.0,140904,123989,152029654,0.04428749801666983,87.99537273604724
